,genre,file_name,samplerate,duration,mean,std,max,min,diff_mean,diff_std
0,blues,blues.00000.au,22050,30,"[ -1.50538264  -1.66745918 -15.21220703   4.23198313  -9.58464693
   2.58241955 -18.42872884   6.35673123 -14.76404361   7.11813274
  -7.61231446   7.73238963  -4.81976457   3.36533101  -5.88293318
  -1.61010153  -2.58018652   0.83373388  -2.6204491    1.02039765
  -1.43262021  -0.11374151  -0.09444546  -0.09804753   0.28404624
  -0.70090855]","[  1.14202743   6.01268043   8.70403617   9.26913932  10.7919769
   9.73322508   9.13660379  10.9631507   10.32633034   9.59234286
   8.36229292   9.24700281   7.72345975   7.38933964   6.97127501
   6.68750495   5.27141726   4.95173645   3.73419505   2.89723263
   2.04698147   1.31967183   0.44014485   0.21574371   0.77613514
   1.45003015]","[  1.01400399  13.70942565  11.68709764  29.98464764  21.47263315
  32.47344015  10.11676764  45.68465528  13.58588352  49.56984862
  23.11516465  46.25414103  20.84113787  32.28920289  19.31627758
  19.10821898  14.82579025  16.93492094  10.70950743  10.97037857
   4.86945726   4.78575063   1.46598989   0.5608952    3.1798181
   4.02749991]","[ -4.85854815 -26.57615926 -42.66757796 -28.61490253 -43.02458634
 -33.27401514 -52.91898822 -32.09349699 -49.46581392 -23.74269415
 -43.38805791 -27.86301416 -30.35751616 -24.24634121 -26.17628364
 -24.02678926 -19.95780511 -19.74123766 -14.54139077  -9.33067409
  -9.75948328  -4.07669149  -1.43315957  -0.92256616  -2.30270193
  -6.41026391]","[ -1.62076547e-01  -1.35447478e+01   1.94441902e+01  -1.38166301e+01
   1.21670665e+01  -2.10111484e+01   2.47854601e+01  -2.11207748e+01
   2.18821763e+01  -1.47304472e+01   1.53447041e+01  -1.25521542e+01
   8.18509559e+00  -9.24826419e+00   4.27283165e+00  -9.70084988e-01
   3.41392040e+00  -3.45418298e+00   3.64084675e+00  -2.45301786e+00
   1.31887869e+00   1.92960562e-02  -3.60206769e-03   3.82093768e-01
  -9.84954793e-01]","[  6.11997806  12.51046351  11.42995379  11.04445334  10.83290169
  12.67641869  10.98710967  13.5877591   13.91008087  10.86336611
  10.42644461   9.58820809   8.84705031   8.20416261   8.00252631
   7.46008962   6.55059      5.3418351    3.97615334   3.03261377
   2.02423228   1.2557931    0.54142246   0.73675954   1.35897789]"
1,blues,blues.00001.au,22050,30,"[ -3.27341626e+00   8.52053789e-01  -2.89078736e+00   4.34202840e+00
  -7.41722527e+00   7.28278644e+00  -1.71450342e+01   1.51253215e+01
  -1.67754215e+01   5.33968125e+00  -8.41561886e+00   4.13741974e+00
  -7.47632330e+00   4.83268752e+00  -6.63534441e+00   1.22930509e+00
  -1.44612031e+00   2.06864215e+00  -2.23350117e+00   1.69806920e+00
  -1.56667897e+00  -1.41138844e-02   6.29822828e-02  -7.19121789e-02
   5.41793113e-02  -6.20901954e-01]","[  2.1263558    8.1618835   12.70405381  12.34761308  12.77661965
  10.57628991  12.41770573  11.41707207  11.34491045  11.47774984
   9.5894909   11.22330578   9.55328229   8.65021832   6.64881527
   6.30512929   5.46755321   5.0432894    3.52951684   2.60759132
   2.06975112   1.19669159   0.43589276   0.25260528   0.84189333
   1.40826112]","[  1.23421579  24.11494854  25.19993601  36.74429869  26.70019915
  40.3633088   12.96503155  55.19755994  20.85453326  38.51619039
  29.63816545  46.07304686  25.02861048  35.06408036  14.3775928
  21.96150564  15.2742349   18.11229468  10.0672612   12.11610673
   4.94819104   3.98230517   1.73118933   0.7793362    3.37092506
   4.05950809]","[ -9.67297876 -32.81133142 -51.11621653 -34.8436744  -46.800064
 -28.07525749 -66.45242467 -19.59949021 -54.83927969 -42.09880294
 -44.03798149 -28.76093369 -38.44722614 -23.83576331 -33.41665865
 -18.35765083 -23.47741106 -16.36631574 -13.12714696  -7.11068054
  -8.70402599  -3.84066627  -1.55325408  -1.07979999  -2.87416444
  -5.43212705]","[  4.12547005  -3.74284114   7.23281575 -11.75925367  14.70001171
 -24.42782066  32.27035576 -31.90074307  22.11510278 -13.75530011
  12.5530386  -11.61374304  12.30901082 -11.46803192   7.8646495
  -2.67542541   3.51476246  -4.30214332   3.93157037  -3.26474817
   1.55256508   0.07709617  -0.13489446   0.12609149  -0.67508127]","[  9.13983632  16.90063541  17.14793627  13.05317183  14.20436596
  13.4792054   16.15111556  13.82949135  14.40559427  12.19946172
  12.28049203  13.40509364  10.86764952  10.47383049   8.44018507
   7.8393891    5.88282305   5.34858348   4.01226908   3.29414454
   2.0822155    1.1485269    0.57549051   0.77753426   1.44163629]"
2,blues,blues.00002.au,22050,30,"[ -9.43213843e-01   3.49022076e+00  -1.84501477e+01  -3.43819023e-01
  -1.39611406e+01   9.31094798e+00  -1.14739303e+01   3.69208980e+00
  -1.31452013e+01   5.76445938e+00  -1.17383395e+01   2.72676611e+00
  -5.33838118e+00   2.43528788e+00  -7.63691845e+00   3.55793202e+00
  -1.75105647e+00   2.60023514e-01  -2.49635206e+00   1.01540912e+00
  -7.74565567e-01   1.67725357e-01  -4.64144246e-03  -1.08641045e-02
   1.39213529e-01   6.23743401e-02]","[  1.30325969   7.3102339    9.75454936   9.58728741  10.06612223
   7.94350321  10.21785358  12.25449002   9.80033105   9.21200227
   9.40661694   9.80389722   8.60373037   7.4567016    6.94777273
   5.82552945   5.11098887   4.64807297   3.42810723   2.79425861
   1.92401715   1.19144954   0.44158161   0.24491743   0.87434462
   1.58934907]","[  1.94451093  30.92381031  17.56145658  42.21986947  20.91861245
  35.09525112  24.56962748  36.42629177  20.03492584  41.22211291
  22.37356984  32.51009777  35.69439841  33.39283561  17.20690333
  28.31930681  18.9469727   15.16557802  10.8520066    9.84754489
   6.11386293   3.812221     1.62290614   0.93960925   2.80937103
   5.32593791]","[ -7.1497022  -42.67495042 -47.42781209 -27.95558854 -55.13155731
 -21.06739745 -46.29075125 -55.90083989 -57.78882401 -34.9499122
 -47.95278127 -38.7656843  -28.28800994 -23.92766522 -37.45836291
 -18.16693071 -19.16685979 -15.21654251 -15.16054969  -9.13758853
  -8.3815013   -4.50990272  -1.72375962  -0.76915703  -3.43371101
  -4.85063376]","[  4.43343461e+00  -2.19403685e+01   1.81063287e+01  -1.36173216e+01
   2.32720886e+01  -2.07848783e+01   1.51660201e+01  -1.68372911e+01
   1.89096607e+01  -1.75027989e+01   1.44651056e+01  -8.06514729e+00
   7.77366906e+00  -1.00722063e+01   1.11948505e+01  -5.30898849e+00
   2.01107998e+00  -2.75637557e+00   3.51176118e+00  -1.78997469e+00
   9.42290924e-01  -1.72366799e-01  -6.22266200e-03   1.50077634e-01
  -7.68391890e-02]","[  7.93639193  12.67006977  11.11101465  14.64113668  10.73495573
  11.61281007  11.70189282  13.22352158  12.81348911  10.20319098
  13.26209115  13.89046825   9.65505498   8.074852     7.66324397
   7.00272436   6.35191115   4.92779753   3.77893895   2.86672949
   1.95007056   1.14218147   0.58650436   0.81508998   1.46229593]"
3,blues,blues.00003.au,22050,30,"[ -3.39170231   9.25209884  -4.38120259   4.95288189  -8.13980804
   8.87588285  -8.98500657  10.7693348   -5.17537345  12.48215833
  -7.54000493   7.726572    -4.29710896   4.50645705  -4.97174351
   6.02918216  -1.81812146   1.935413    -1.23985263   0.64662368
  -1.45350607   0.27537897  -0.12521538   0.0313274    0.32365814
   0.04454243]","[  1.56811584   7.69374057   8.64939629   8.37479357  10.77162191
   8.95616177   9.65643277  11.38944652   9.39995352   8.65851833
   9.54091186   8.52630153   8.24902655   7.51020611   7.65948259
   5.46311213   4.96912446   4.50465717   3.56556296   2.60673505
   1.62212213   1.05030383   0.34032422   0.20266992   0.67761545
   1.27368439]","[  0.50526175  35.59888198  17.72606136  30.46657561  15.95806312
  35.71543454  19.8903327   43.72900711  21.54539836  40.62052227
  22.91739116  44.44596992  27.27815604  25.90512352  20.43745557
  26.75084504  15.46436603  19.41924961  11.89887433  10.16843508
   8.02709538   4.50820372   0.89368328   0.75340128   2.71576002
   4.80674335]","[ -7.70663011 -21.78396563 -39.60813859 -23.36324255 -43.05780216
 -26.3765069  -41.04138032 -36.975165   -50.85328142 -28.58494353
 -47.78800741 -24.62973227 -44.20363298 -25.5912248  -38.3281259
 -20.90576999 -21.1079123  -13.22914086 -17.13696851  -8.70388147
  -6.68209611  -3.46305293  -1.39573218  -0.87513945  -2.0860628
  -4.81507632]","[ 12.64380114 -13.63330142   9.33408447 -13.09268992  17.01569089
 -17.86088942  19.75434136 -15.94470825  17.65753179 -20.02216327
  15.26657693 -12.02368096   8.80356601  -9.47820056  11.00092567
  -7.84730362   3.75353446  -3.17526563   1.88647631  -2.10012975
   1.72888503  -0.40059435   0.15654278   0.29233074  -0.27911571]","[  8.32276957  12.48046539  10.38500642  11.23117452  10.36971594
  11.08643867  10.63623775  11.50490479  11.0787818   10.01715554
  11.53003398  11.59538627   9.35991075   8.4005588    9.00287932
   6.92340685   5.61615337   4.64968927   3.76723117   2.93785194
   1.58903214   1.03414825   0.439232     0.64531485   1.28137039]"
4,blues,blues.00004.au,22050,30,"[ -1.96142936   0.93701381 -23.26517463  -1.322068   -29.35513273
   2.2565083  -18.09959814  -0.22572037 -12.55460524   6.23913606
 -10.4606091   -1.09729152  -5.53819126   0.79111592  -6.80042644
   2.81259971  -1.90961217   1.66756768   0.09569627   0.96265234
  -0.67304142   0.75760539   0.26138183  -0.06979887   0.30086855
  -0.19725998]","[  1.88318814   9.51916117   8.22781382   9.369274    10.47218614
   9.10849719  11.32879038  13.6536344   12.00513072   9.86271635
  11.00788934  10.28757827   9.78773535   9.37677211  10.35425621
   7.70679775   7.08558471   5.61664704   4.66043435   3.05579871
   1.97284813   1.39457643   0.42931521   0.26505444   1.04825738
   1.52262361]","[  2.68423869  22.249557     1.29087329  38.57573048   3.10010933
  41.14577602  18.8001049   43.50889949  26.82731945  44.84701945
  37.55699238  30.41173906  27.27530179  33.72776722  30.10605073
  32.76967224  27.16404527  19.95997886  17.84359677  12.06243668
   6.32899164   5.55713249   1.97332289   1.08753161   3.873444
   4.94132864]","[ -7.535371   -41.6089841  -48.90922228 -25.54957809 -67.15443129
 -34.08746098 -62.12801774 -41.92411784 -59.58577522 -31.59690485
 -45.68452233 -40.72005964 -45.40403122 -33.12474831 -38.12402235
 -26.21999265 -35.53164242 -19.55659092 -11.97866907  -9.404049
  -8.38020882  -3.73168337  -1.14654125  -0.80301108  -3.43048417
  -6.16064892]","[  2.89844317 -24.20218844  21.94310662 -28.03306473  31.61164103
 -20.35610644  17.87387777 -12.32888487  18.7937413  -16.69974516
   9.36331758  -4.44089974   6.32930718  -7.59154236   9.61302615
  -4.72221187   3.57717985  -1.57187142   0.86695607  -1.63569376
   1.43064681  -0.49622356  -0.33118069   0.37066742  -0.49812853]","[ 10.80234986  11.22449014  13.26978398  14.48532277  14.19102761
  14.41559863  15.73406413  20.21393625  15.46676777  14.30166921
  14.44947714  13.73802165  12.30226009  12.5813657   12.32503519
   8.83638458   8.23248504   6.34786143   4.93611971   3.59299131
   2.25736675   1.34981834   0.4944153    0.99184388   1.87493517]"
5,blues,blues.00005.au,22050,30,"[ -2.13538871e+00   2.49841696e+00  -1.51738960e+01   4.43993549e+00
  -2.53474864e+01   3.20658117e+00  -2.38538071e+01   1.50171202e+00
  -1.53043249e+01   2.82440349e+00  -1.74307390e+01   5.91042293e-01
  -7.21339995e+00  -2.84889650e+00  -3.44418198e+00   2.65704064e+00
  -1.03659377e+00   2.87661988e-01   4.05503096e-01   4.01253220e-01
  -5.69359186e-01   6.66662162e-01   2.54502728e-01  -1.31599609e-01
  -8.62227901e-03  -3.65647313e-01]","[  2.25315092  14.84154267   9.90401463  13.59851829  11.52245151
   9.72951201   9.40283003  11.09520977  11.09780414  11.20216444
  10.78982049  10.95781559   9.64959282   7.7527787    9.05375614
   6.2286887    5.86509521   5.35009046   4.00096366   2.87672164
   1.97918816   1.15232495   0.44250586   0.22498479   0.90009235
   1.33758502]","[  3.47138862  28.17259348  19.8527738   54.43670213  23.80745106
  37.03619936   9.17606616  45.43662528  21.29784787  49.26731555
  24.48555628  34.27701533  40.68020708  31.143764    15.66860036
  23.68120373  22.00945832  18.76603754  14.34353485  15.28752481
   6.51402604   4.99351607   2.02738023   0.68161003   2.75100317
   4.82135473]","[ -9.04380414 -49.37085582 -38.34012376 -27.59782793 -68.53119523
 -22.56904104 -71.87285095 -26.89821221 -55.66010518 -32.40512372
 -63.09164493 -51.87416319 -35.31916888 -31.07972571 -36.85244847
 -16.59059013 -25.50694825 -21.38433802 -13.56342205  -9.10012782
  -7.02032733  -4.78068273  -1.121281    -1.09191768  -3.51222095
  -5.72462812]","[  4.63380566e+00  -1.76723130e+01   1.96138315e+01  -2.97874218e+01
   2.85540675e+01  -2.70603883e+01   2.53555191e+01  -1.68060369e+01
   1.81287284e+01  -2.02551425e+01   1.80217813e+01  -7.80444225e+00
   4.36450346e+00  -5.95285487e-01   6.10122262e+00  -3.69363441e+00
   1.32425576e+00   1.17841108e-01  -4.24987647e-03  -9.70612406e-01
   1.23602135e+00  -4.12159434e-01  -3.86102337e-01   1.22977330e-01
  -3.57025034e-01]","[ 16.31270029  18.18994887  15.27220357  15.75184906  14.32543363
  13.50965903  13.64427811  16.29410443  15.31913999  13.20729797
  15.49997378  15.7287728   12.07728502  12.27402553  11.44348981
   8.07990049   6.95033513   5.99930512   4.74978533   3.24754095
   2.04591486   1.08922072   0.54397981   0.85085398   1.39189476]"
6,blues,blues.00006.au,22050,30,"[ -2.11225679e+00   1.16528963e+01  -2.36024082e+01   6.34729016e+00
  -2.18793279e+00  -2.19860788e+00  -2.70530755e+01  -2.26562007e+00
  -1.04544099e+01  -1.07462624e+00  -1.13521118e+01  -2.86643795e+00
  -8.21230460e+00  -7.59155867e+00  -6.30476734e+00   4.21524576e-01
  -2.98466186e+00  -1.32293550e+00  -2.00776943e-01   5.27803619e-01
  -3.18647502e-01  -1.73579352e-01  -5.63886081e-02  -9.81488862e-03
  -2.05296101e-01  -2.65894810e-01]","[  2.72318955  13.40692334  13.2523132   12.91300282  19.45980859
  11.06651708  10.41089394  13.78193351  10.97371818  12.20096812
  11.54341779  10.87416902  10.0116814    8.40360137   7.22694945
   7.36242283   6.07103771   5.27324517   4.45508766   3.08553377
   2.1092098    1.37009652   0.57194309   0.28802147   0.98530104
   1.41754785]","[  2.61813792  36.94733324  13.85641005  52.86618866  35.14367651
  33.52885623  16.30956863  47.31033823  28.10741343  43.07141994
  23.29304484  39.15499898  35.32826237  27.22532101  22.25143433
  24.11181946  17.19711279  20.28134471  14.83135154  11.21060024
   9.42936299   4.81967827   1.89331386   0.85846507   2.73733364
   5.63349811]","[ -9.94682459 -38.51996341 -57.14388972 -25.54341089 -71.78970168
 -45.38085778 -72.34136619 -37.28202049 -51.85019971 -45.66922978
 -61.73982478 -37.12998773 -34.23151763 -45.34658608 -30.42949114
 -19.86177638 -27.24035245 -20.47318711 -15.18430906  -8.6404557
  -6.10549031  -4.92437384  -2.06662597  -1.12242803  -4.52956969
  -6.17848748]","[  1.37651531e+01  -3.52553045e+01   2.99496984e+01  -8.53522295e+00
  -1.06750857e-02  -2.48544676e+01   2.47874554e+01  -8.18878987e+00
   9.37978370e+00  -1.02774856e+01   8.48567386e+00  -5.34586666e+00
   6.20745929e-01   1.28679134e+00   6.72629191e+00  -3.40618644e+00
   1.66172636e+00   1.12215856e+00   7.28580562e-01  -8.46451122e-01
   1.45068150e-01   1.17190744e-01   4.65737195e-02  -1.95481212e-01
  -6.05987089e-02]","[ 14.76822598  18.59751124  16.45676792  26.70093263  24.17832175
  14.26536324  13.29558392  18.74701804  17.94218716  15.16821878
  15.48190739  13.24213588  11.78264335  10.32304797   9.18212037
   8.45795036   6.34903635   5.67922754   4.55787325   3.44921832
   2.06381299   1.25485358   0.75271592   0.85903974   1.4467642 ]"
7,blues,blues.00007.au,22050,30,"[ -2.247435     7.78380454 -17.76835974  10.4803392   -6.06876466
   6.74003716 -29.41599856   4.38184856 -16.25962829  -3.90772936
 -10.81231582  -3.62735576  -6.6065768   -2.46068177  -9.88369336
  -2.31185425  -2.24581584  -2.10138367  -0.50286246   1.24741558
   0.80832716  -0.38536028  -0.095707    -0.18005979  -0.24038086
   0.11937257]","[  2.00717232  11.65265969   9.51996303  11.90799435  14.64698335
  11.15778649  11.1682399   15.35489388  12.99320416  14.85275311
  10.32469021  11.1033804   10.45292511   8.7909261    8.22045057
   8.06921178   5.83561597   5.79110868   4.50101984   2.71663532
   2.28398449   1.32336821   0.47530485   0.28571012   0.96115268
   1.42270489]","[  2.99191514  35.65089431  13.80784292  48.93370852  28.39943627
  49.49413707  10.6838536   55.88444578  26.03445151  46.48897497
  38.47024328  32.69888926  26.65581184  31.88967924  14.1318193
  23.82144292  16.84339588  16.79018928  13.5464211    9.62423214
   7.5361167    3.01915613   1.44747501   0.87192391   2.73104073
   5.21876583]","[ -8.64027198 -43.22825191 -40.72101698 -19.46510806 -54.58419071
 -33.71449293 -63.10333982 -47.33103217 -66.11191974 -40.48961119
 -50.65733022 -47.30486307 -39.92868246 -31.95464095 -36.65278936
 -26.10254837 -20.37430594 -25.11541444 -16.42629679  -8.89509018
  -6.60296632  -4.37845132  -1.61503261  -1.06053288  -3.37041139
  -4.66020343]","[ 10.03123954 -25.55216428  28.24869893 -16.54910386  12.80880183
 -36.15603572  33.79784712 -20.64147685  12.35189893  -6.90458645
   7.18496006  -2.97922104   4.14589503  -7.42301159   7.57183912
   0.0660384    0.14443217   1.59852121   1.75027804  -0.43908842
  -1.19368744   0.28965327  -0.08435279  -0.06032107   0.35975343]","[ 12.66031083  14.91058721  13.48389568  18.47361803  17.69037723
  16.7529866   18.06822122  21.49281721  21.96866187  17.69358197
  15.84875127  15.82211635  11.17258808  11.53430543  10.24496312
   9.55872404   8.24730097   7.36028764   4.88164241   3.53427786
   2.70267916   1.46207872   0.52632913   0.869855     1.71346769]"
8,blues,blues.00008.au,22050,30,"[ -1.55594314  -1.90990755 -11.38929456   8.59483233  -6.56496463
   7.14835161 -18.93488959  15.76728727  -8.89852704  15.68620312
  -7.34142045   3.17261197 -14.00043414   3.58324333  -1.45223739
   4.07833992  -3.75062076   1.0902215    1.14478747   1.78761809
  -2.21249207  -0.62769118   0.35971076  -0.2911879   -0.67287739
   0.72707509]","[  1.09042461   6.6980525    9.92288305  11.06402447  10.89273481
   8.73543582   9.75309082  11.2369827   10.32632308   9.50603827
   8.87439665   8.79433175   8.2883961    7.86622713   7.08009137
   5.21091447   4.83880467   4.3483273    3.07730293   2.16242573
   1.93215522   1.12091895   0.41279071   0.25827302   0.87629043
   1.37853194]","[  0.95790908  14.38290344   9.51101863  50.40162997  25.81106489
  34.03290206  25.35163152  50.05988373  27.15747958  44.66359134
  22.02031588  29.56655438  15.36033725  35.84751867  17.87487519
  22.84725812  12.58309653  13.02844798  12.38475934   9.88354032
   5.51381427   3.95352669   1.63817311   0.67671889   2.84332128
   5.74137516]","[ -4.98870974 -31.22306622 -47.387254   -19.01248077 -45.69124742
 -18.85692279 -49.94385903 -19.71711437 -50.97921843 -16.7515455
 -40.51017855 -31.51735935 -38.11921529 -25.88415844 -23.84325283
 -16.48399936 -19.47466428 -17.94298394  -8.76939416  -5.15615458
  -8.45981686  -4.16598076  -1.3128461   -1.02856905  -3.58370645
  -3.79287204]","[ -0.35396441  -9.47938701  19.9841269  -15.15979697  13.71331624
 -26.08324119  34.70217686 -24.66581431  24.58473016 -23.02762357
  10.51403241 -17.1730461   17.58367747  -5.03548072   5.5305773
  -7.82896068   4.84084226   0.05456597   0.64283062  -4.00011016
   1.58480089   0.98740193  -0.65089866  -0.38168948   1.39995248]","[  6.94523319  15.00788849  10.85616022  15.11426056  11.6948527
  10.63746749  12.07729525  11.78109122  12.40761536  10.66443611
  12.13303809  12.36792442   8.895596     9.86879786   7.94458663
   6.42507222   6.07570455   4.94403081   3.38813599   2.48138224
   1.62233037   1.11884513   0.58201838   0.77166835   1.48437588]"
9,blues,blues.00009.au,22050,30,"[ -3.07371572e+00  -3.31702137e-01  -1.25568266e+01   6.94491944e+00
  -2.55108320e+01  -3.23971874e+00  -1.72237933e+01   7.50663877e+00
  -2.02906787e+01   5.98700020e+00  -8.17938838e+00   4.99619687e+00
  -1.72433918e+00  -1.48311566e+00  -6.69590593e+00   3.29194379e+00
   1.28057917e-01  -1.54049781e-01   5.48794503e-01   1.53102496e+00
  -1.03956578e+00   6.68161798e-01   1.59340391e-03   4.26715725e-02
   1.03794056e-01  -8.70620660e-02]","[  2.346827     7.72442004  11.50908304  11.84348267  13.59340858
  14.74640581   9.91370043  10.73063217  11.19054028  12.17582702
  10.41736341  12.20182492   9.94885959   9.03773213   8.92814958
   7.0237475    6.56754879   6.40498856   4.65087074   3.3171363
   2.28629773   1.39438577   0.48468967   0.26458433   0.99228444
   1.56075061]","[  2.44348114  20.08284787  12.96071091  58.16491746   6.45380941
  36.57328504  10.79973744  37.11737448  20.72803791  47.2677754
  27.37476834  37.74756419  47.0606374   27.86403019  20.10039517
  26.55322502  26.609482    18.01962983  16.93981456  14.43578058
   5.83685028   5.11206412   1.80207027   1.00444336   3.63296126
   5.43233285]","[ -7.20556381 -46.29555427 -43.11173933 -20.41487327 -75.17384322
 -47.61383514 -57.34475674 -27.36585667 -49.99231679 -28.88741011
 -45.10442196 -34.55147384 -30.95750702 -33.2506441  -34.25887949
 -21.87336879 -23.92962266 -21.94557054 -15.95968043 -12.92813469
  -9.5720756   -3.86485241  -1.5706402   -0.72746764  -4.11621618
  -6.01385351]","[  2.74201358 -12.2251245   19.50174608 -32.45575147  22.27111329
 -13.98407452  24.73043203 -27.79731744  26.27767887 -14.16638858
  13.17558525  -6.72053605   0.24122351  -5.21279027   9.98784972
  -3.16388587  -0.2821077    0.70284428   0.98223045  -2.57059073
   1.70772757  -0.66656839   0.04107817   0.06112248  -0.19085612]","[  8.17247535  15.69222587  16.59228327  17.83438356  19.05477019
  19.42961478  11.36487699  14.11028833  14.89445149  13.14279965
  14.28641668  15.13737429  13.33259801  10.42820166   9.91329488
   8.32222183   8.19762129   6.98358119   5.0908169    3.68672039
   2.13844821   1.27734803   0.64655649   0.98536572   1.42008357]"
